departmentid,departmentname,description,createdby,creationdate,lastmodifiedby,lastmodifieddate
1,Procurement Business Partner,,dbadmin,2026-02-17 12:30:50.912247+00,,
2,Procurement Assurance,,dbadmin,2026-02-17 12:30:50.912247+00,,
3,Customer Experience,,dbadmin,2026-02-17 12:30:50.912247+00,,
4,Sales and Account Manager,,dbadmin,2026-02-17 12:30:50.912247+00,,
5,Buyer,,dbadmin,2026-02-17 12:30:50.912247+00,,
6,Supplier,,dbadmin,2026-02-17 12:30:50.912247+00,,
7,Procurement Specialist Team,,dbadmin,2026-02-17 12:30:50.912247+00,,
8,Delivery Team,,dbadmin,2026-02-17 12:30:50.912247+00,,
9,Bloom,,,2026-06-08 13:56:15.62432+00,,
10,Finance,,,2026-06-08 13:56:15.62432+00,,
